Name,Type,Alignment,AC,HP,HP Roll,Speed,Ability Scores,Saves,Skills,Damage Vulnerabilities,Damage Resistence,Damage Immunities,Condition Immunities,Pper,Senses,Languages,CR,Traits,Actions,Source
Grick,Medium monstrosity,Neutral,14 (natural armor),27,6d8,"30 ft., climb 30 ft.","14,14,11,3,14,5",None,None,None,"bludgeoning, piercing, and slashing damage from nonmagical weapons",None,None,12,darkvision 60 ft.,None,2,<b>Stone Camouflage. </b>The grick has advantage on its Dexterity (Stealth) check when it attempts to hide in rocky terrain.,"<b>Multiattack. </b><i>Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 9 (2d6 + 2) slashing damage.<br><br><b>Tentacles. </b><i>Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 5 (1d6 + 2) <br><br><b>Beak. </b><i>Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit: </i>5 (1d6 + 2) piercing damage. ","Monster Manual,Lost Mines of Phandelver"
Hobgoblin,Medium Humanoid (Goblinoid),Laweful Evil,"18 (chain mail, shield)",11,2d8 + 2,30 ft.,"13,12,12,10,10,9",None,None,None,None,None,None,10,darkvision 60 ft.,"Common, Goblin",0.5,"<b>Martial Advantage. </b> Once per turn, the hobgoblin can deal an extra 7 (2d6) damage to a creature it hits with a weapon attack if that creature is within 5 feet of an ally of the hobgoblin that isn't incapacitated. ","<b>Longsword. </b><i>Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 5 (1d8 + 1) slashing damage. <br><br><b>Longbow. </b><i>Melee or Ranged Weapon Attack:</i> +3 to hit, range 150 ft./600 ft., one target. <i>Hit:</i> 5 (1d8 + 1) piercing damage.","Monster Manual,Lost Mines of Phandelver"
Mormesk the Wraith,Medium Undead,Neutral Evil,13,45,6d8 + 18,"0 ft., fly 60 ft.","6,16,16,12,14,15",None,None,None,"acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","necrotic, poison","charmed, grappled, paralyzed, petrified, poisoned, prone, restrained",12,darkvision 60 ft.,"Common, Infernal",3,"<b>Incorporeal Movement. </b>The wraith can move through an object or another creature, but cannot stop there.<br><br><b>Sunlight Sensitivity. </b>While in sunlight, the wraith has disadvantage on attack rolls and on Wisdom (Perception) checks that rely on sight.","<b>Life Drain. </b><i>Melee Weapon Attack:</i> +5 to hit, reach 5 ft., one creature <i>Hit:</i> 16 (3d8 + 3) necrotic damage, and the target must succeed on a DC 13 Constitution saving throw or its hit point maximum is reduced by an amount equal to the damage taken. If this attack reduces the target's hit point maximum to 0, the target dies. This reduction to the target's hit point maximum lasts until the target finishes a long rest.",Lost Mines of Phandelver
Nezznar the Black Spider,Medium Humanoid (elf),Neutral Evil,11 (14 with mage armor),27,6d8,30 ft.,"9,13,10,16,14,13","Int +5, Wis +4","Arcana +5, Perception +5, Stealth +3",None,None,None,None,14,darkvision 120 ft.,"Elvish, Undercommon",2,"<b>Special Equipment. </b>Nezznar has a <i>spider staff.</i><br><br><b>Fey Ancestry. </b>Nezznar has advantage on saving throws against being charmed, and magic can't put him to sleep.<br><br><b>Sunlight Sensitivity. </b>Nezznar has disadvantage on attack rolls when he or his target is in sunlight.<br><br><b>Innat Spellcasting. </b>Nezznar can innately cast the following spells, requiring no material componants:<br><br>- At will: <i>dancing lights</i><br>- 1/day each: <i>darkness, faerie fire </i> (save DC 12) <br><br><b>Spellcasting. </b>Nezznar is a 4th-level spellcaster that uses Intelligence as his spellcasting ability (spell save DC 13; +5 to hit with spell attacks). Nezznar has the following spells prepared from the wizard's spell list:<br><br>- Cantrips (at will): <i>mage hand, ray of frost, shocking grasp</i><br>- 1st Level (4 slots): <i>mage armor, magic missile, shield</i><br>- 2nd Level (3 slots): <i>invisibility, suggestion</i>","<b>Spider Staff. </b><i>Melee Weapon Attack:</i> +1 to hit, reach 5 ft., one target <i>Hit:</i> 2 (1d6 - 1) bludgeoning damage plus 3 (1d6) poison damage.",Lost Mines of Phandelver
Nothic,Medium aberration,Neutral Evil,15 (natural armor),45,6d8 + 18,30 ft.,"14,16,16,13,10,8",None,"Arcana +3, Insight +4, Perception +2, Stealth +5",None,None,None,None,12,truesight 120 ft.,Undercommon,2,<b>Keen Insight.</b> The nothic has advantage on Wisdom (Perception) checks that rely on sight.,"<b>Multiattack</b> The nothic makes two attacks with its claws.<br><br><b>Claws .</b><i>Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 6 (1d6 + 3) slashing damage.<br><br><b>Rotting Gaze. </b>The nothic chooses one creature within 30 feet of it that it can see. The target must succeed on a DC 12 Constitution saving throw against this magic or take 10 (3d6) necrotic damage. <br><br><b>Weird Insight. </b>The nothic chooses one creature within 30 feet of it that it can see. The target must context its Charisma (Deception) check against the nothic's Wisdom (Insight) check. If the nothic wins, it magically learns one fact or secret about the creature. ","Lost Mines of Phandelver,Monster Manual"
Ochre Jelly,Large ooze,Unaligned,8,45,6d10 + 12,"10 ft., climb 10 ft.","15,6,14,2,6,1",None,None,None,acid,"lightning, slashing","blinded, charmed, deafened, frightened, prone",8,blindsight 60 ft. (blind beyond this radius),None,2,"<b>Amorphous. </b>The jelly can move through a space as narrow as 1 inch wide without squeezing. <br><br><b>Spider Climb. </b>The jelly can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check","<b>Pseudopod.</b> Melee Weapon Attack: +4 to hit, reach 5 ft., one target. <i>Hit:</i> 9 (2d6 + 2) bludgeoning damage plus 3 (1d6) acid damage.(R)<b>Split.</b> When a jelly that is Medium or larger is subjected to lightning or slashing damage, it splits into two new jellies if it has at least 10 hit points. Each new jelly has hit points equal to half the original jelly's, rounded down. New jellies are one size smaller than the original jelly.","Lost Mines of Phandelver,Monster Manual"
Ogre,Large giant,Chaotic Evil,11 (hide armor),59,7d10 + 21,40 ft.,"19,8,16,5,7,7",None,None,None,None,None,None,8,darkvision 60 ft.,"Common, Giant",2,None,"<b>Greatclub.</b> <i>Melee Weapon Attack:</i> +6 to hit, reach 5 ft., one target. <i>Hit:</i> 13 (2d8 + 4) bludgeoning damage. <br><br><b>Javelin.</b> <i>Melee or Ranged Weapon Attack:</i> +6 to hit, reach 5 ft. or range 30 ft./120 ft., one target. <i>Hit:</i> 11 (2d6 + 4) piercing damage.","Lost Mines of Phandelver,Monster Manual"
Orc,Medium Humanoid (orc),Chaotic Evil,13 (hide armor),15,2d8 + 6,30 ft.,"16,12,16,7,11,10",None,Intimidation +2,None,None,None,None,10,darkvision 60 ft.,"Common, Orc ",0.5,"<b>Aggressive.</b> As a bonus action, the orc can move up to its speed toward a hostile creature that it can see.","<b>Greataxe.</b> <i>Melee Weapon Attack:</i> +5 to hit, reach 5 ft., one target. <i>Hit:</i> 9 (1d12 + 3) slashing damage. <br><br><b>Javelin.</b> <i>Melee or Ranged Weapon Attack:</i> +5 to hit, reach 5 ft. or range 30 ft./120 ft., one target. <i>Hit:</i> 6 (1d6 + 3) piercing damage","Lost Mines of Phandelver,Monster Manual"
Owlbear,Large Monstrosity,Unaligned,13 (natural armor),59,7d10 + 21,40 ft.,"20,12,17,3,12,7",None,None,None,None,None,None,13,darkvision 60 ft.,None,3,<b>Keen Sight and Smell.</b> The owl bear has advantage on Wisdom (Perception) checks that rely on sight or smell.,"<b>Multiattack.</b> The owlbear makes two attacks, one with its beak and one with its claws. <br><br><b>Beak.</b> <i>Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 10 (1d10 + 5) piercing damage. <br><br><b>Claws.</b> <i>Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 14 (2d8 + 5) slashing damage.","Lost Mines of Phandelver,Monster Manual"
Redbrand Ruffian,Medium Humanoid (human),Neutral Evil,14 (studed leather armor),16,3d8 + 3,30 ft.,"11,14,12,9,9,11",None,Intimidation +2,None,None,None,None,9,None,Common,0.5,None,"<b>Multiattack.</b> The ruffian makes two melee attacks. <b>Shortsword.</b> <i>Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 5 (1d6 + 2) piercing damage.",Lost Mines of Phandelver
Sildar Hallwinter,Medium Humanoid (human),Neutral Good,16 (chainmail),27,5d8 + 5,30 ft.,"13,10,12,10,11,10","Str +3, Con +3",Perception +2,None,None,None,None,12,None,Common,1,None,"<b>Multiattack.</b> Sildar makes two melee attacks. <br><br><b>Longsword.</b> <i>Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 5 (1d8 + 1) slashing damage. <br><br><b>Heavy Crossbow.</b> <i>Ranged Weapon Attack:</i> +2 to hit, range 100 ft./400 ft., one target. <i>Hit:</i> 5 (1d10) piercing damage. (R) <b>Parry.</b> When an attacker hits Sildar with a melee attack and Sildar can see the attacker, he can roll1d6 and add the number rolled to his AC against the triggering attack, provided that he's wielding a melee weapon. ",Lost Mines of Phandelver
Skeleton,Medium Undead,Lawful Evil,13 (armor scraps),13,2d8 + 4,30 ft.,"10,14,15,6,8,5",None,None,bludgeoning,None,poison,poisoned,9,darkvision 60 ft.,understands the languages it knew in life but can't speak,0.25,None,"<b>Shorts word.</b> <i>Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 5 (1d6 + 2) piercing damage. <br><br><b>Shortbow.</b> <i>Ranged Weapon Attack:</i> +4 to hit, range 80 ft./320 ft., one target. <i>Hit:</i> 5 (ld6 + 2) piercing damage.","Lost Mines of Phandelver,Monster Manual"
Spectator,Medium aberration,Lawful Neutral,14 (natural armor),39,6d8 + 12,"0 ft., fly 30 ft.","8,14,14,13,14,11",None,Perception +6,None,None,None,prone,16,darkvision 120 ft.,"Deep Speech, Undercommon",3,<b>Hover.</b> The spectator hovers as long as it is alive. Telepathy. The spectator can communicate telepathically with any creature within 100 feet of it that can understand a language. ,"<b>Bite.</b> Melee Weapon Attack: +1 to hit, reach 5 ft., one target. Hit: 2 (1d4 - 1) piercing damage. <br><br><b>Eye Rays.</b> The spectator uses two of the following eye rays. It can use each ray only once per turn. Each ray targets a creature the spectator can see within 90 feet of it. <ol type = ""1""><li><b>Confusion Ray.</b> The target must succeed on a DC 13 Wisdom saving throw, or it can't take reactions until the end of its next turn. On its turn, the target can't move, and it uses its action to make a melee or ranged attack against a randomly determined creature within range. If the target can't attack, it does nothing on its turn.</li>  <li><b>Paralyzing Ray.</b> The target must succeed on a DC 13 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect early on a success.</li> <li><b>Fear Ray.</b> The target must succeed on a DC 13 Wisdom saving throw or be frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns, with disadvantage if the spectator is visible to the target, ending the effect early on a success.</li> <li><b>Wounding Ray.</b> The target must make a DC 13 Constitution saving throw, taking 16 (3d10) necrotic damage on a failed save, or half as much damage on a successful one.</li></ol><br><b>Create Food and Water.</b> The spectator creates enough food and water to sustain itself for 24 hours. (R) <b>Spell Reflection.</b> If the spectator makes a successful saving throw against a spell, or a spell misses it, the spectator can choose another creature within 30 feet of it that it can see. The spell affects the chosen creature instead of the spectator.","Lost Mines of Phandelver,Monster Manual"
Stirge,Tiny Beast,Unaligned,14 (natural armor),2,1d4,"10 ft., fly 40 ft.","4,16,11,2,8,6",None,None,None,None,None,None,9,darkvision 60 ft.,None,0.125,"<b>Blood Drain.</b> <i>Melee Weapon Attack:</i> +5 to hit, reach 5 ft., one creature. <i>Hit:</i> 5 (1d4 + 3) piercing damage, and the stirge attaches to the target. While attached, the stirge doesn't attack. Instead, at the start of each of the stirge's turns, the target loses 5 (1d4 + 3) hit points due to blood loss. The stirge can detach itself by spending 5 feet of its movement. It does so after it drains 10 hit points of blood from the target or the target dies. A creature, including the target, can use its action to detach the stirge.",,"Lost Mines of Phandelver,Monster Manual"
Twig Blight,Small Plane,Neutral Evil,13 (natural armor),4,1d6 + 1,20 ft.,"6,13,12,4,8,3",None,Stealth +3,fire,None,None,"blinded, deafened ",9,blindsight 60 ft. (blind beyond this radius),understands Common but doesn’t speak,0.125,"<b>False Appearance.</b> The blight resembles a dead shrub. While it remains motionless among vegetation, it can hide without being out of sight.","<b>Claws.</b> <i>Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 3 (1d4 + 1) piercing damage.","Lost Mines of Phandelver,Monster Manual"
Wolf,Medium beast,Unaligned,13 (natural armor),11,2d8 + 2,40 ft.,"12,15,12,3,12,6",None,"Perception +3, Stealth +3",None,None,None,None,13,None,None,0.25,<b>Keen Hearing and Smell.</b> The wolf has advantage on Wisdom (Perception) checks that rely on hearing or smell. <br><br><b>Pack Tactics.</b> The wolf has advantage on attack rolls against a creature if at least one of the wolf's allies is within 5 feet of the creature and isn't incapacitated.,"<b>Bite.</b> <i>Melee Weapon Attack:</i> +4 to hit, reach 5 ft., one target. <i>Hit:</i> 7 (2d4 + 2) piercing damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone.","Lost Mines of Phandelver,Monster Manual"
Young Green Dragon,Large Dragon,Lawful Evil,18 (natural armor),136,16d10 + 48,"40 ft., fly 60 ft., swim 40 ft.","19,12,17,16,13,15","Dex +4, Con +6, Wis +4, Cha +5","Deception +5, Perception +7, Stealth +4",None,None,poison,poisoned,17,"blindsight 30 ft., darkvision 120 ft.","Common, Draconic",8,<b>Amphibious.</b> The dragon can breathe air and water.,"<b>Multiattack.</b> The dragon makes three attacks, one with its bite and two with its claws. <br><br><b>Bite.</b> <i>Melee Weapon Attack:</i> +7 to hit, reach 10 ft., one target. <i>Hit:</i> 15 (2d10 + 4) piercing damage plus 7 (2d6) poison damage. <br><br><b>Claw.</b> <i>Melee Weapon Attack:</i> +7 to hit, reach 5 ft., one target. <i>Hit:</i> 11 (2d6 + 4) slashing damage. <br><br><b>Poison Breath (Recharge 5-6).</b> The dragon breathes poisonous gas in a 30-foot cone. Each creature in the cone must make a DC 16 Constitution saving throw, taking 42 (12d6) poison damage on a failed save, or half as much damage on a successful one","Lost Mines of Phandelver,Monster Manual"
Zombie,Medium Undead,Neutral Evil,8,22,3d8 + 9,20 ft.,"13,6,16,3,6,5",Wis 0,None,None,None,poison,poisoned,8,darkvision 60 ft.,understands the languages it knew in life but can't speak,0.25,"<b>Undead Fortitude.</b> If damage reduces the zombie to 0 hit points, it can make a Constitution saving throw with a DC of 5 + the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.","<b>Slam.</b> <i>Melee Weapon Attack:</i> +3 to hit, reach 5 ft., one target. <i>Hit:</i> 4 (1d6 + 1) bludgeoning damage.","Lost Mines of Phandelver,Monster Manual"
